epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,23663.1,1.0062,0.85312,1.08565,0.71975,0.67018,0.71335,0.48708,1.11373,1.03712,1.15978,0.000279476,0.000279476,0.000279476
55,24082,1.00738,0.85005,1.08319,0.73776,0.6634,0.71215,0.49668,1.09789,1.00005,1.1485,0.000273655,0.000273655,0.000273655
56,24502.8,1.00439,0.84395,1.08008,0.71263,0.65622,0.69605,0.48906,1.09432,1.02007,1.14425,0.000267834,0.000267834,0.000267834
57,24921.2,1.00163,0.83825,1.08232,0.7187,0.6509,0.70869,0.49745,1.11462,1.02688,1.15396,0.000262013,0.000262013,0.000262013
58,25340.4,1.00075,0.83594,1.07694,0.75904,0.65692,0.71523,0.49795,1.08836,1.01177,1.13731,0.000256192,0.000256192,0.000256192
59,25759.5,0.99351,0.81777,1.07456,0.70033,0.68783,0.71245,0.50052,1.1004,1.01615,1.14199,0.00025037,0.00025037,0.00025037
60,26178.2,0.99631,0.82586,1.07345,0.75582,0.66265,0.72644,0.50774,1.08925,1.00052,1.13998,0.000244549,0.000244549,0.000244549
61,26596.9,0.98912,0.8132,1.07251,0.69798,0.68844,0.69767,0.48951,1.09995,1.01907,1.14359,0.000238728,0.000238728,0.000238728
62,27054.4,0.99326,0.80926,1.07308,0.71066,0.66866,0.70774,0.49362,1.09117,0.99932,1.13984,0.000232907,0.000232907,0.000232907
63,27516.5,0.9854,0.80056,1.06906,0.74031,0.6552,0.70908,0.49793,1.10617,1.00134,1.14941,0.000227086,0.000227086,0.000227086
64,27904.8,0.9878,0.80294,1.07067,0.73514,0.68352,0.72734,0.51513,1.10512,1.00914,1.14345,0.000221264,0.000221264,0.000221264
65,28434.6,0.97167,0.7793,1.06149,0.75707,0.63973,0.72008,0.50805,1.10273,1.00556,1.14946,0.000215443,0.000215443,0.000215443
